                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8051,                 2.6843,                 1.2713,                0.96123,                0.11809,                0.26613,                0.13883,                 1.4327,                 2.7047,                 1.0534,             0.00046526,             0.00046526,             0.00046526
                      1,                 1.4276,                 1.4341,                 1.0357,                0.45879,                0.27201,                0.32044,                0.18405,                 1.3873,                 1.7727,                 1.0889,             0.00092295,             0.00092295,             0.00092295
                      2,                 1.3334,                 1.2665,                 1.0436,                0.61095,                0.32645,                0.39718,                0.24072,                 1.2553,                 1.7792,                 1.0391,              0.0013618,              0.0013618,              0.0013618
                      3,                 1.3547,                 1.1225,                 1.0289,                0.83669,                0.38422,                0.45056,                0.26506,                 1.2371,                 1.2578,                  1.042,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.2691,                 1.0268,                0.99664,                0.86505,                0.40344,                   0.46,                0.27719,                 1.2274,                 1.2828,                 1.0294,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2575,                0.99266,                0.99871,                0.55637,                0.44598,                0.45736,                0.29152,                 1.1496,                 1.2967,                 1.0069,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2734,                0.95785,                0.99323,                0.52542,                0.56842,                0.56732,                 0.3544,                 1.2015,                  1.043,                 1.0083,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.252,                0.90548,                 0.9891,                 0.6886,                0.56821,                0.63171,                0.39742,                 1.1462,                0.99224,                0.99841,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2274,                0.86914,                0.97409,                0.69883,                0.53495,                0.59008,                0.38284,                 1.1515,                0.94019,                 1.0106,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1686,                0.81704,                0.95973,                0.79584,                0.58198,                0.64022,                0.41102,                 1.1625,                0.94905,                 0.9997,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1433,                 0.7955,                0.95696,                0.74708,                0.55879,                0.63384,                0.42073,                 1.1053,                0.87762,                0.97811,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1713,                0.81105,                0.96676,                0.64092,                0.47953,                0.54554,                0.33834,                 1.1409,                0.87315,                 0.9829,              0.0011461,              0.0011461,              0.0011461
                     12,                  1.207,                0.82406,                0.97398,                 0.8299,                 0.5699,                0.65086,                0.42637,                 1.1285,                0.84406,                0.98872,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1624,                0.78605,                0.95989,                0.72242,                0.51988,                0.57993,                0.35891,                 1.2088,                0.96533,                 1.0372,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1578,                0.77505,                0.96103,                0.89546,                 0.5384,                0.64846,                0.42973,                 1.1044,                0.88109,                0.97534,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1165,                0.75189,                0.95579,                0.69803,                  0.623,                0.65666,                0.42002,                 1.1434,                0.76175,                0.99528,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.133,                0.73188,                0.95254,                0.64661,                0.62321,                0.64169,                0.42889,                 1.1082,                0.77209,                0.98255,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1637,                0.73701,                0.95536,                0.84011,                0.62454,                 0.7108,                0.46836,                 1.1691,                0.77232,                 1.0059,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1508,                 0.7214,                0.95322,                0.66926,                0.67674,                0.70531,                 0.4538,                 1.1367,                0.73668,                0.99046,               0.000948,               0.000948,               0.000948
                     19,                 1.1194,                 0.7084,                0.95442,                0.86503,                0.61068,                0.70173,                0.47199,                 1.0804,                0.77242,                0.96682,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0839,                0.68361,                0.94157,                0.79134,                0.59627,                0.69164,                0.45839,                 1.0833,                0.69327,                0.96793,             0.00089141,             0.00089141,             0.00089141
                     21,                  1.099,                0.68139,                0.94285,                0.92275,                 0.5852,                 0.7059,                 0.4784,                 1.0765,                0.74838,                0.97262,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0886,                0.69171,                0.94016,                0.94511,                 0.5753,                0.68377,                0.46377,                 1.0813,                0.77968,                0.97795,             0.00083482,             0.00083482,             0.00083482
